target,replicate,fastq1,fastq2,control1,control2
NUFIP1-human,2,https://www.encodeproject.org/files/ENCFF098JPF/@@download/ENCFF098JPF.fastq.gz,https://www.encodeproject.org/files/ENCFF732PVD/@@download/ENCFF732PVD.fastq.gz,https://www.encodeproject.org/files/ENCFF608MDV/@@download/ENCFF608MDV.fastq.gz,https://www.encodeproject.org/files/ENCFF240DTE/@@download/ENCFF240DTE.fastq.gz
PBX2-human,1,https://www.encodeproject.org/files/ENCFF176RUD/@@download/ENCFF176RUD.fastq.gz,https://www.encodeproject.org/files/ENCFF793URQ/@@download/ENCFF793URQ.fastq.gz,https://www.encodeproject.org/files/ENCFF417ORB/@@download/ENCFF417ORB.fastq.gz,https://www.encodeproject.org/files/ENCFF417ORB/@@download/ENCFF417ORB.fastq.gz
PBX2-human,2,https://www.encodeproject.org/files/ENCFF410UIX/@@download/ENCFF410UIX.fastq.gz,https://www.encodeproject.org/files/ENCFF932THV/@@download/ENCFF932THV.fastq.gz,https://www.encodeproject.org/files/ENCFF417ORB/@@download/ENCFF417ORB.fastq.gz,https://www.encodeproject.org/files/ENCFF417ORB/@@download/ENCFF417ORB.fastq.gz
PHB2-human,1,https://www.encodeproject.org/files/ENCFF005PFF/@@download/ENCFF005PFF.fastq.gz,https://www.encodeproject.org/files/ENCFF499ADG/@@download/ENCFF499ADG.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz
PHB2-human,2,https://www.encodeproject.org/files/ENCFF513NXC/@@download/ENCFF513NXC.fastq.gz,https://www.encodeproject.org/files/ENCFF672NIZ/@@download/ENCFF672NIZ.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
PHF20-human,1,https://www.encodeproject.org/files/ENCFF124AQZ/@@download/ENCFF124AQZ.fastq.gz,https://www.encodeproject.org/files/ENCFF841SWR/@@download/ENCFF841SWR.fastq.gz,https://www.encodeproject.org/files/ENCFF368UOC/@@download/ENCFF368UOC.fastq.gz,https://www.encodeproject.org/files/ENCFF410PHD/@@download/ENCFF410PHD.fastq.gz
PHF20-human,2,https://www.encodeproject.org/files/ENCFF413ICF/@@download/ENCFF413ICF.fastq.gz,https://www.encodeproject.org/files/ENCFF744BML/@@download/ENCFF744BML.fastq.gz,https://www.encodeproject.org/files/ENCFF240DTE/@@download/ENCFF240DTE.fastq.gz,https://www.encodeproject.org/files/ENCFF608MDV/@@download/ENCFF608MDV.fastq.gz
PHF21A-human,1,https://www.encodeproject.org/files/ENCFF025MOI/@@download/ENCFF025MOI.fastq.gz,https://www.encodeproject.org/files/ENCFF608JOK/@@download/ENCFF608JOK.fastq.gz,https://www.encodeproject.org/files/ENCFF240DTE/@@download/ENCFF240DTE.fastq.gz,https://www.encodeproject.org/files/ENCFF608MDV/@@download/ENCFF608MDV.fastq.gz
PHF21A-human,2,https://www.encodeproject.org/files/ENCFF282GIL/@@download/ENCFF282GIL.fastq.gz,https://www.encodeproject.org/files/ENCFF356VYM/@@download/ENCFF356VYM.fastq.gz,https://www.encodeproject.org/files/ENCFF410PHD/@@download/ENCFF410PHD.fastq.gz,https://www.encodeproject.org/files/ENCFF368UOC/@@download/ENCFF368UOC.fastq.gz
PHF8-human,1,https://www.encodeproject.org/files/ENCFF205QLX/@@download/ENCFF205QLX.fastq.gz,https://www.encodeproject.org/files/ENCFF931EAU/@@download/ENCFF931EAU.fastq.gz,n/a,n/a
PHF8-human,2,https://www.encodeproject.org/files/ENCFF592RSM/@@download/ENCFF592RSM.fastq.gz,https://www.encodeproject.org/files/ENCFF609HJW/@@download/ENCFF609HJW.fastq.gz,n/a,https://www.encodeproject.org/files/ENCFF156ECZ/@@download/ENCFF156ECZ.fastq.gz
PKNOX1-human,1,https://www.encodeproject.org/files/ENCFF292YNE/@@download/ENCFF292YNE.fastq.gz,https://www.encodeproject.org/files/ENCFF755HHM/@@download/ENCFF755HHM.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz
PKNOX1-human,2,https://www.encodeproject.org/files/ENCFF871SUI/@@download/ENCFF871SUI.fastq.gz,https://www.encodeproject.org/files/ENCFF921VOK/@@download/ENCFF921VOK.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
POLR2A-human,1,https://www.encodeproject.org/files/ENCFF272EEG/@@download/ENCFF272EEG.fastq.gz,https://www.encodeproject.org/files/ENCFF531FHF/@@download/ENCFF531FHF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
POLR2A-human,2,https://www.encodeproject.org/files/ENCFF400NVU/@@download/ENCFF400NVU.fastq.gz,https://www.encodeproject.org/files/ENCFF920SBM/@@download/ENCFF920SBM.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz
